 kgrid  ValNew  Policy 
    0.85 -41.9576     0.85
    0.86 -41.0029     0.85
    0.87 -40.0768     0.86
    0.88 -39.2085     0.87
    0.89 -38.3896     0.88
     0.9 -37.5913     0.88
    0.91 -36.8143     0.89
    0.92 -36.0652      0.9
    0.93 -35.3445     0.91
    0.94 -34.6452     0.92
    0.95 -33.9679     0.93
    0.96 -33.3119     0.94
    0.97 -32.6653     0.94
    0.98  -32.038     0.95
    0.99 -31.4272     0.96
       1 -30.8343     0.97
    1.01 -30.2565     0.98
    1.02 -29.6954     0.99
    1.03 -29.1499        1
    1.04 -28.6191        1
    1.05 -28.0949     1.01
    1.06  -27.585     1.02
    1.07 -27.0884     1.03
    1.08 -26.6037     1.04
    1.09 -26.1316     1.05
     1.1 -25.6721     1.06
    1.11 -25.2243     1.07
    1.12 -24.7883     1.07
    1.13  -24.357     1.08
    1.14 -23.9364     1.09
    1.15 -23.5263      1.1
